number,name,serving_size,calories,total_fat,saturated_fat,cholesterol,protein,carbohydrate,fiber,sugars,lactose,fat,saturated_fatty_acids,monounsaturated_fatty_acids,polyunsaturated_fatty_acids,water
1257,"Nuts,  blanched",100,590,53,4,0,21.4,18.67,9.9,4.63,0,52.52,3.953,33.415,12.368,4.51
4216,"Candies,  low sugar or low calorie",100,590,43,22,0.022,12.39,37.68,3.5,14.63,0,43.27,21.723,10.884,4.349,4
739,"Peanut butter,  reduced sodium",100,590,50,7.7,0,24,21.83,6.6,9.29,0,49.9,7.716,23.582,14.363,1.1
2099,"Peanut butter,  without salt",100,589,50,7.6,0,24.06,21.57,8,8.41,0,49.94,7.607,23.123,13.932,1.14
2369,"USDA Commodity,  smooth",100,588,50,9.5,0,21.93,23.98,5.7,6.5,0,49.54,9.519,20.726,11.331,1.55
2726,"Peanuts,  with salt",100,587,50,7.7,0,24.35,21.26,8.4,4.9,0,49.66,7.723,26.181,9.773,1.81
4056,"Peanuts,  without salt",100,587,50,7.7,0,24.35,21.26,8.4,4.9,0,49.66,7.723,26.181,9.773,1.81
980,"Seeds,  paste",100,586,51,7.1,0,18.08,24.05,5.5,0,0,50.87,7.124,19.209,22.296,1.6
6945,"Nuts,  PLANTERS pistachio blend",100,580,49,6.7,0,21.95,22.51,8.1,4.45,0,49.3,6.71,27.618,11.655,2.91
538,"Nuts,  almonds",100,579,50,3.8,0,21.15,21.55,12.5,4.35,0,49.93,3.802,31.551,12.329,4.41
2564,"Chocolate,  60-69% cacao solids",100,579,38,22,0.006,6.12,52.42,8,36.71,0.31,38.31,22.031,11.522,1.221,1.25
1099,"Dessert topping,  powdered",100,577,40,37,0,4.9,52.54,0,52.54,0,39.92,36.723,0.6,0.447,1.47
3258,"Candies,  HERSHEY'S POT OF GOLD Almond Bar",100,577,38,17,0.013,12.82,44.89,3.8,38.46,0,38.46,16.667,0,0,1.26
5596,"Candies,  COCOAVIA Chocolate Covered Almonds",100,573,37,12,0,9.51,50.22,10.4,26.92,0,37.07,11.745,0,0,1.5
2899,"Candies,  HERSHEY'S GOLDEN ALMOND SOLITAIRES",100,569,37,15,0.013,11.97,46.85,4.4,37.13,0,37.13,15.23,0,0,1.26
4363,"Candies,  HERSHEY'S MILK CHOCOLATE WITH ALMOND BITES",100,568,36,17,0.019,9.76,51.72,3.6,44.59,0,35.73,17.39,14.38,2.42,1.19
6230,"Seeds,  without salt added (decorticated)",100,567,48,6.7,0,16.96,26.04,16.9,0.48,0,48,6.722,18.127,21.039,5
6494,"Seeds,  with salt added (decorticated)",100,567,48,6.7,0,16.96,26.04,16.9,0.48,0,48,6.722,18.127,21.039,5
3664,"Seeds,  roasted and toasted",100,565,48,6.7,0,16.96,25.74,14,0,0,48,6.722,18.127,21.039,3.3
2593,"Candies,  ALMOND JOY BITES",100,563,35,21,0.011,5.58,57.54,4.3,51.71,0,34.5,20.6,8.85,1.46,1.26
4236,"Cookie,  chocolate-coated",100,562,35,19,0,8.1,52.9,3.5,30.9,0,35.3,19.2,8.4,6.3,1.8
2599,"Snacks,  lightly salted",100,560,35,5.5,0,6.72,53.54,4.2,0.34,0,35.39,5.49,14.938,12.416,1.35
3257,"Puff pastry,  baked",100,558,39,5.5,0,7.4,45.7,1.5,0.75,0,38.5,5.502,8.828,22.228,7.4
1984,"GIRL SCOUTS,  Tagalongs Cookies",100,558,35,19,0,8.1,52.2,3.5,30.9,0,35.3,19.2,8.4,6.3,1.8
7437,"Snacks,  unenriched",100,558,36,5.5,0.004,5.76,54.1,2.2,2.76,2.12,35.76,5.512,10.437,18.649,1.5
2622,"Candies,  SPECIAL DARK Chocolate Bar",100,556,32,,0.005,5.54,60.49,6.5,47.56,0,32.4,0,5.14,0.44,0.9
1232,"Egg Mix,  USDA Commodity",100,555,35,10,0.975,35.6,23.97,0,2.46,0,34.5,10.305,13.745,7.555,2.78
1230,"Seeds,  hulled",100,553,49,4.6,0,31.56,8.67,4,1.5,0.07,48.75,4.6,5.4,38.1,4.96
1037,"MOTHER'S,  Macaroon Cookies",100,552,34,18,0.003,6.1,55.7,4.1,25.4,0,34.1,18.1,5.4,8.1,3.2
1499,"Puff pastry,  ready-to-bake",100,551,38,9.6,0,7.3,45.1,1.5,0.74,0,38.1,9.643,21.597,4.894,8.5
936,"Snacks,  smoked",100,550,50,21,0.133,21.5,5.4,0,0,0,49.6,20.8,20.47,4.42,19.1
5874,"Candies,  TWIX chocolate fudge cookie bars",100,550,33,5,0.006,7.3,56,3,53,0,33.3,4.962,14.319,12.521,2.2
8603,"Candies,  NFS (45-59% cacao solids 90%; 60-69% cacao solids 5%; 70-85% cacao solids 5%)",100,550,32,19,0.007,5.09,59.97,7.2,46.14,1.5,32.2,18.993,9.801,1.107,1
2933,"Candies,  milk chocolate coated coffee beans",100,549,33,18,0.02,7.41,55.25,5.7,50.75,0,33.18,18.138,13.735,1.31,2.42
1531,"Pork,  baked",100,548,43,14,0.107,35.73,1.35,0,0,0,43.27,14.187,19.065,4.859,12.52
8153,"MCKEE BAKING,  Chocolate Covered",100,548,33,6.3,0,8,55.2,0,34,0,32.8,6.29,0,0,3
4126,"KEEBLER,  bite size",100,547,33,9.5,0.005,5,58.7,1.6,22.5,0,32.6,9.5,9,11.7,2.8
7239,"Snacks,  sour-cream and onion-flavor",100,547,37,9.5,0.003,6.6,51.3,1.2,0,0,37,9.47,7.12,18.78,2
6038,"KEEBLER,  Chocolate Chip & Pecan Shortbread Cookies",100,546,32,11,0.011,5.6,59.2,2.4,26.5,0,32.1,10.7,8.9,10.4,2.5
3666,"Candies,  DOVE Milk Chocolate",100,546,32,19,0.018,5.94,59.78,2.4,55.45,0,31.72,19.24,0,0,1.61
2426,"Chocolate,  45- 59% cacao solids",100,546,31,19,0.008,4.88,61.17,7,47.9,1.65,31.28,18.519,9.54,1.092,0.97
4238,"Snack,  plain",100,545,35,8.6,0,4.62,55.38,2.9,0.76,0,35.28,8.643,6.14,15.502,2.37
4084,"KEEBLER,  Peanut Butter",100,544,31,17,0,6.8,60,2.7,41.4,0,31.4,17.4,6.3,6.5,1
4647,"Cookies,  pecan",100,542,33,8.2,0.033,4.9,58.3,1.8,0,0,32.5,8.204,18.628,4.122,3.3
3854,"Candies,  crispy bar with peanut butter filling",100,542,31,13,0.005,9.53,55.53,3.3,40.33,0,31.34,12.959,10.82,4.68,1.6
825,"Pinon Nuts,  roasted (Navajo)",100,541,34,3.2,0,7.41,51.06,43.4,0,0,34.08,3.21,15.57,14.42,5
3123,"KEEBLER,  Pecan Shortbread Cookies",100,541,32,9.5,0.012,5,59,1.9,22.5,0,31.7,9.5,8.4,11.4,3
1470,"Candies,  HERSHEY'S SKOR Toffee Bar",100,541,30,19,0.053,3.13,63.73,1.3,59.89,0,30.37,18.78,9.714,1.191,1.57
2359,"Cookies,  chocolate wafer",100,541,30,15,0,4.06,62.82,1.6,40.99,3.92,30.42,15.299,9.462,2.274,1.37
3010,"GLUTINO,  Milk Chocolate",100,541,30,15,0,4.06,62.82,1.6,40.99,3.92,30.42,15.299,9.462,2.274,1.37
1419,Chocolate-flavored hazelnut spread,100,541,30,28,0,5.41,62.16,5.4,54.05,0,29.73,28.423,0,0,1.07
4820,"KEEBLER,  Dark Chocolate Almond Shortbread Cookies",100,540,31,11,0.009,6.1,59.9,2.6,26.5,0,31,10.8,7,9.4,2.5
975,"Candies,  unsweetened",100,540,31,29,0.001,8.15,56.29,3.8,34.11,0,31.36,29.018,0.483,0.295,1.54
3000,"Candies,  dark chocolate coated coffee beans",100,540,30,15,0.013,7.5,59.95,7.5,42.5,0,30,15,0,0,1.47
1161,"Candies,  white chocolate",100,539,32,19,0.021,5.87,59.24,0.2,59,0,32.09,19.412,9.097,1.013,1.3
4571,"Candies,  COCOAVIA Chocolate Bar",100,539,29,16,0,5.81,62.99,8.7,39.19,0,29.3,15.703,0,0,0.7
1434,"Candies,  MR. GOODBAR Chocolate Bar",100,538,33,14,0.01,10.22,54.34,3.8,47.22,0,33.21,14.13,8.203,4.366,0.45
2866,"Candies,  M&M MARS 3 MUSKETEERS Truffle Crisp",100,538,29,19,0.018,6.41,63.15,0,57.69,0,28.85,19.23,5.536,1.091,0.18
4429,"KEEBLER,  Chocolate Malt Chunk Cookies",100,537,30,14,0.009,4.7,61.8,1.7,31.6,0,30.4,13.8,5.9,8.2,2.7
4554,"KEEBLER,  Peanut Creme Filled Cookies",100,537,31,17,0,7.2,57.6,3.3,30.3,0,31.1,16.9,6.8,6,2
5123,"Granola bar,  peanut butter",100,536,31,17,0.012,9.6,54.1,3.8,23.63,0,31.2,17.065,6.561,1.906,3.2
3777,"Candies,  SNICKERS MUNCH bar",100,536,36,8.8,0.024,15.25,43.64,4.7,30.87,0,36.22,8.819,0,0,2.99
2374,"Snacks,  unsalted",100,536,35,11,0,7,52.9,4.8,0.22,0,34.6,10.96,9.84,12.17,1.9
6115,"Candies,  TWIX Peanut Butter Cookie Bars",100,536,33,16,0.006,9.18,54.15,3.1,36.13,0,32.67,15.758,12.317,3.407,1.82
3415,"Cookies,  special dietary",100,535,34,4.9,0,10,50.8,0,0,0,34,4.937,15.391,12.026,3.7
2953,"KEEBLER,  Cashew Shortbread Cookies",100,535,31,9.5,0.011,6.3,59.3,1.5,23.2,0,30.6,9.5,8.3,10.2,3
1238,"Candies,  milk chocolate",100,535,30,19,0.023,7.65,59.4,3.4,51.5,0,29.66,18.509,7.186,1.376,1.5
486,"Seeds,  flaxseed",100,534,42,3.7,0,18.29,28.88,27.3,1.55,0,42.16,3.663,7.527,28.73,6.96
4555,"KEEBLER,  Triple Fudge Filled Cookies",100,533,29,17,0,3.6,64.2,3,42.7,0,29.4,17.1,4.3,6.3,1.2
4329,"Snacks,  chocolate coated",100,531,32,23,0,5.2,55.2,6.2,34.27,0,32.2,22.72,4.97,3.1,6.1
4081,"Snacks,  sour-cream-and-onion-flavor",100,531,34,8.9,0.007,8.1,51.5,5.2,0,0,33.9,8.89,6.12,17.42,1.8
2594,"Candies,  SYMPHONY Milk Chocolate Bar",100,531,31,18,0.024,8.51,58.01,1.7,53.96,0,30.57,18.34,7.91,0.69,0.94
2323,"KEEBLER,  Coconut Cookies",100,530,29,14,0,5.7,61.5,3.7,28.4,0,29.3,14.1,5.5,7.7,2.5
4605,"KEEBLER,  Vanilla",100,530,27,17,0,2.4,68.6,1.7,51.2,0,27.3,17,7.4,2,1
172,"Candies,  HEATH BITES",100,530,30,16,0.019,3.94,63.39,2,60.02,0,30.38,15.62,8.8,2.55,0.86
1049,"Cream substitute,  powdered",100,529,33,19,0,2.48,59.29,0,7.77,0,32.92,19.146,9.796,0.408,2.98
3781,"Candies,  peanut butter",100,529,30,13,0.001,18.3,46.88,5,38.3,0,29.8,13.12,12.829,2.053,2.67
6661,"Candies,  M&M's Peanut Butter Chocolate Candies",100,529,29,18,0.007,10.16,56.89,4,47.15,0,29.32,18.485,4.448,0.542,2
2685,"KEEBLER,  Fudge Sticks",100,529,27,17,0,2.6,68.8,1.3,53,0,27.1,16.9,3.2,5.9,1
2925,"KEEBLER,  Simply Shortbread Cookies",100,528,29,13,0.045,6,62.2,1.4,22.6,0,28.8,13.2,6.4,6.4,3
908,"MURRAY,  Vanilla Sugar Wafer",100,527,26,8.6,0,3.9,70,1,41,0,25.7,8.6,6.5,10.1,0.4
1930,"Snacks,  cheese-flavor",100,526,33,6.4,0.011,9.3,51.6,9.9,0.79,0,33.2,6.41,9.7,15.37,2.5
2121,"Cookies,  chocolate-covered",100,526,28,17,0,3.45,65.99,3.4,51.72,0,27.59,17.241,4.866,4.176,1.73
708,"Seeds,  high-fat",100,526,37,5.2,0,30.78,26.62,0,0,0,37.1,5.196,14.01,16.261,0.9
316,"Spices,  poppy seed",100,525,42,4.5,0,17.99,28.13,19.5,2.99,0,41.56,4.517,5.982,28.569,5.95
5535,"Candies,  milk chocolate with honey and almond nougat",100,525,29,17,0.014,5.71,61.21,2.5,55.74,0,28.57,17.143,3.744,3.234,3.28
6168,"Candies,  COCOAVIA Blueberry and Almond Chocolate Bar",100,525,29,13,0,6.35,60.37,9.1,38.99,0,28.68,13.07,0,0,2.9
7146,"Infant formula,  powder not reconstituted",100,524,29,12,0.017,11.4,54.94,0,52.38,52.38,28.71,12.214,5.242,10.835,2.25
4690,"Infant formula,  powder",100,524,28,13,0.032,12,56,0,56,0,28,12.761,11.131,3.951,2
4823,"Candies,  M&M's Almond Chocolate Candies",100,522,28,9.4,0.008,7.53,60.5,5.6,49.22,0,27.76,9.435,11.29,3.753,2.52
75,"Snacks,  potato sticks",100,522,34,8.9,0,6.7,53.3,3.4,0.22,0,34.4,8.88,6.16,17.9,2.2
2193,"Candies,  yogurt",100,522,27,24,0.001,5.87,63.94,0,62.36,0,27,24.104,0.526,0.524,1.91
221,"Candies,  peanut bar",100,522,34,4.7,0,15.5,47.4,4.1,42.22,0,33.7,4.678,16.721,10.65,1.6
3097,"Noodles,  Chinese restaurant",100,521,32,4.9,0,10.33,51.9,1.9,0.25,0,31.72,4.931,7.617,16.949,4.93
1324,"Candies,  REESE'S BITES",100,521,30,18,0.007,11.34,55.18,3.1,48.03,0,29.85,18,7.06,1.82,1.65
2920,"GIRL SCOUTS,  Caramel Dulce De Leche Cookies",100,520,27,11,0,5.1,64.8,1.3,29.6,0,27.1,11.2,5.6,8.6,2.5
3665,"Candies,  DOVE Dark Chocolate",100,520,32,19,0.007,5.19,59.4,7.6,46.27,0,32.45,19.209,0,0,1.66
1468,"Peanut butter,  reduced fat",100,520,34,5.8,0,25.9,35.65,5.2,9.28,0,34,5.76,16.156,9.182,1.2
2401,"Candies,  KIT KAT BIG KAT Bar",100,520,28,18,0.009,6.24,63.64,1.9,53.96,0,27.84,17.99,4.91,0.51,1.1
169,"Snacks,  banana chips",100,519,34,29,0,2.3,58.4,7.7,35.34,0,33.6,28.97,1.95,0.63,4.3
4752,"KEEBLER,  Peanut Butter Cups Cookies",100,519,29,13,0.002,6,60.8,2.3,30.2,0,28.9,12.8,6.4,7.7,3
3228,"FAMOUS AMOS,  Chocolate Chip Pecan Cookies",100,519,27,9.7,0.007,5.8,63.8,3.3,31.8,0,27,9.7,8.1,7.4,2.5
2220,"Candies,  milk chocolate coated peanuts",100,519,34,15,0.009,13.1,49.7,4.7,37.59,0,33.5,14.6,12.92,4.33,1.9
2575,"Snacks,  nacho cheese",100,519,27,3.9,0,7.36,60.81,5.1,2.59,0,27.42,3.876,9.089,12.257,1.66
1636,"Pie crust,  dry mix",100,518,31,8,0,6.9,52.1,0,0,0,31.4,7.974,17.887,3.968,7.6
4430,"KEEBLER,  Dark Chocolate Chunk Cookies",100,518,28,11,0.007,4.3,64,2.6,31.2,0,27.5,11,6.9,8.1,2.8
1000,"Candies,  KIT KAT Wafer Bar",100,518,26,18,0.011,6.51,64.59,1,48.68,8.21,25.99,17.953,5.844,0.895,1.63
89,Bacon and beef sticks,100,517,44,16,0.102,29.1,0.8,0,0.8,0,44.2,16,21.9,4.3,21.6
4819,"Snacks,  TERRA CHIPS",100,517,30,1.9,0,4.13,57.97,10.9,9.75,0,29.81,1.887,15.409,6.93,4.54
5367,"KEEBLER,  Original Chocolate Chip Cookies",100,517,28,11,0.009,5.5,62.7,2.9,30.1,0,28.3,11.1,7.2,8.2,2.8
4964,"Candies,  COCOAVIA Crispy Chocolate Bar",100,517,26,14,0,8.21,62.06,7.8,34.96,0,26.23,14.007,0,0,1.9
2387,"Candies,  REESE'S NUTRAGEOUS Candy Bar",100,517,32,8.9,0.003,11.28,52.8,3.9,40.22,0,32.09,8.86,12.63,8.09,1.5
8438,"Infant formula,  with DHA and ARA",100,517,28,14,0.008,13.99,51.91,0,34.18,0,28.19,14.282,2.276,8.877,1.5
7064,"Baking chocolate,  M&M's Semisweet Chocolate Mini Baking Bits",100,517,26,16,0.003,4.44,65.96,6.7,53.07,0,26.15,15.618,0,0,1.27
23,"Candies,  sesame crunch",100,516,33,4.7,0,11.6,50.3,7.7,31.17,0,33.3,4.662,12.571,14.591,2.2
6444,"KEEBLER,  Chocolate Graham Cookies",100,516,27,16,0,4.3,65.4,3.2,38.9,0,27.2,15.6,3.7,6.6,1.4
4776,"Candies,  M&M's Peanut Chocolate Candies",100,515,26,10,0.008,9.57,60.48,3.7,50.75,0,26.13,10.169,8.086,3.456,2.48
1779,"MOTHER'S,  Circus Animal Cookies",100,515,25,25,0.001,3.8,68.3,0.8,43.5,0,25.3,24.7,0.2,0.3,2.2
2184,"MOTHER'S,  Holiday Circus Animal Cookies",100,515,25,25,0.001,3.8,68.3,0.8,44.3,0,25.3,24.7,0.2,0.3,2.2
2039,"BARBARA DEE,  Winter Mints Cookies",100,515,26,18,0,3.9,67.1,2,35.8,0,26,18,2.7,3.8,2
2712,"Candies,  REESE'S Peanut Butter Cups",100,515,31,11,0.006,10.24,55.36,3.6,47.17,0,30.53,10.73,13.1,5.5,1.44
1583,"Cookies,  lemon wafer",100,515,24,11,0,0,74.39,0,42.31,0,24.18,10.501,8.312,2.67,1.12
2729,"GLUTINO,  Lemon Flavored",100,515,24,11,0,0,74.39,0,42.31,0,24.18,10.501,8.312,2.67,1.12
4648,"Cookies,  plain",100,514,26,8.1,0,5.37,63.78,1.3,21.65,0,26.22,8.105,6.708,8.326,3.6
2756,"MURRAY,  Pecan Shortbread Cookies",100,514,34,10,0.012,5.9,57.3,4.6,1.1,0,33.5,10.1,8.8,12.1,3
3147,"MOTHER'S,  Halloween Circus Animals Cookies",100,514,25,25,0.001,3.8,68.1,0.8,43.9,0,25.3,24.7,0.2,0.3,2.2
1867,"MOTHER'S,  Jungle Animal Cookies",100,514,25,24,0.001,3.8,68.3,0.8,44.2,0,25.3,24.3,0.4,0.3,2
3354,"SUNSHINE,  Hot & Spicy Crackers",100,513,26,6.3,0,8.3,61.2,2.9,1,0,26.1,6.3,7.1,12.5,2.5
1432,"SUNSHINE,  Colby Crackers",100,512,27,6.4,0.002,9.55,59.25,2.2,1.2,0,26.85,6.4,7.1,12.6,2.3
2908,"KEEBLER,  Double Stuffed Cookies",100,512,25,11,0.01,4.6,67.6,4.1,38.5,0,24.8,10.5,4.3,9.6,2
4488,"Candies,  GOOBERS Chocolate Covered Peanuts",100,512,34,12,0.012,9.7,53,9.7,43,0,34,12.1,0,0,1.9
1966,"Candies,  KRACKEL Chocolate Bar",100,512,27,16,0.011,6.62,63.96,2.2,52.53,0,26.58,15.92,6.25,0.57,1.17
3239,"MURRAY,  Coconut Cookies",100,511,26,12,0.007,5.7,65.5,3,30.4,0,25.5,11.5,4.7,7.3,3
4196,"SUNSHINE,  Crackers (made with Whole Grain)",100,511,27,6.1,0.001,10.7,58.2,4.3,0.5,0,26.5,6.1,7.2,12.7,2.3
3998,"KEEBLER,  Deluxe Grahams Cookies",100,511,26,17,0.001,4,66.6,2.2,37.3,0,25.8,17.2,2.7,4.9,2
3259,"Candies,  with rice cereal",100,511,29,16,0.023,7.64,59.67,3.3,51.06,0,29.37,15.89,8.64,0.78,1.52
6086,"Beverages,  reduced calorie",100,509,29,25,0,1.96,59.94,0.5,59,0,29.1,25.128,1.705,0.576,6.16
2139,"Cookies,  with frosting or icing",100,509,24,16,0,3,70.09,0.9,41.1,0,24.1,16.2,2.4,4.5,2
3729,"KEEBLER,  Chocolate Lovers Cookies",100,508,27,12,0.007,5.5,63,3.1,34,0,27.2,11.7,7.2,6.8,3
4708,"Pork,  heated",100,507,52,17,0.072,8.77,2,0,0.28,0,51.57,17.048,23.798,6.47,35.47
1683,"SUNSHINE,  BIG Crackers",100,507,26,6.1,0.001,11.4,57.4,2.4,0.5,0,26.3,6.1,7.2,12.6,2.3
2458,"SUNSHINE,  Original Crackers",100,507,26,6.1,0.001,11.4,57.4,2.4,0.5,0,26.3,6.1,7.2,12.6,2.3
5671,"SUNSHINE,  Duoz Smoked Cheddar Monterey Jack Crackers",100,507,26,6.1,0.003,9,60.8,2.2,0.9,0,25.9,6.1,6.6,12.2,2.3
3345,"Cookie,  with icing or coating",100,507,24,17,0,4.5,67.87,2.3,32,0,24.2,16.5,2.6,3.6,2
6543,"KEEBLER,  Original Graham Cookies",100,507,26,14,0.001,4.2,65.5,3.2,33.2,0,26.2,13.8,3.7,7.3,2
1191,"Candies,  sweet chocolate",100,507,34,20,0,3.9,60.4,5.5,51.48,0,34.2,20.08,11.22,0.99,0.5
2144,"Pie crust,  baked",100,506,29,11,0,3.41,58.52,1.4,0,0,28.69,11.087,11.815,3.756,7.96
3869,"Seeds,  roasted (glandless)",100,506,36,9.7,0,32.59,21.9,5.5,0,0,36.29,9.699,6.919,18.068,4.65
3999,"KEEBLER,  Caramel Filled Cookies",100,506,25,18,0.003,2.9,66.7,1.6,42,0,25.4,17.9,2.6,3.4,3.5
1716,"Snacks,  rice-based",100,506,26,3.8,0,17.31,51.62,13.2,3,0,25.58,3.785,9.86,10.643,2.55
1576,"KEEBLER,  Frosted Cookies",100,506,24,16,0,3,70,0.9,41.1,0,24.1,16.2,2.4,4.5,2
977,"Veal,  cooked",100,505,50,16,0.082,11.16,2.11,0,0,0,50.17,16.316,20.589,2.972,35.99
3223,"MURRAY,  Peanut Butter Cookies",100,505,31,8.3,0.007,9.5,55.8,5.7,1.7,0,30.8,8.3,10.9,11.2,2.5
1741,"Pepperoni,  sliced",100,504,46,18,0.097,19.25,1.18,0,0,0,46.28,17.708,20.77,4.458,28.55
1809,"KEEBLER,  Danish Wedding Cookies",100,504,24,12,0,3.9,68.3,2.6,37.9,0,24.1,11.6,3.8,5.8,4
320,"Sauce,  horseradish",100,503,51,8.2,0.05,1.09,10.05,1,8.98,0,50.89,8.233,13.087,29.169,35.83
797,"Crackers,  low sodium",100,503,25,9.6,0.013,10.1,58.2,2.4,0.28,0,25.3,9.638,11.852,2.457,3.1
7052,"Babyfood,  baked whole grain corn snack",100,503,29,4.7,0.013,0,61.59,0,0,0,28.57,4.669,14.682,7.698,2.6
